,class_description,num_inventions,ratio
223,Surgery: kinesitherapy,8176,0.0009007411063383485
224,Horology: time measuring systems or devices,8101,0.0008924784371877399
225,"Envelopes, wrappers, and paperboard boxes",8099,0.0008922580993437237
226,Tools,8034,0.0008850971194131963
227,Tobacco,7951,0.0008759530988865227
228,Pipes and tubular conduits,7839,0.0008636141796216138
229,Recorders,7835,0.0008631735039335813
230,Foods and beverages: apparatus,7778,0.0008568938753791188
231,Rotary expansible chamber devices,7762,0.000855131172626989
232,"Fire escape, ladder, or scaffold",7685,0.0008466481656323641
233,Package making,7465,0.0008224110027905787
234,Ventilation,7454,0.0008211991446484896
235,Acoustics,7436,0.0008192161040523435
236,Printing and office machinery,7403,0.0008155805296260756
237,"Solid anti-friction devices, materials therefor, lubricant or separant compositions for moving solid surfaces, and miscellaneous mineral oil compositions",7286,0.0008026907657511262
238,Electrical computers and digital processing systems: interprogram communication or interprocess communication (ipc),7173,0.0007902416775642092
239,"Card, picture, or sign exhibiting",7154,0.0007881484680460551
240,"Road structure, process, or apparatus",7090,0.0007810976570375356
241,"Arms, pyrotechnics, hunting and fishing equipment",7070,0.0007788942785973734
242,Material or article handling equipment,6844,0.0007539961022235394
243,Horizontally supported planar surfaces,6782,0.0007471656290590362
244,"Elevator, industrial lift truck, or stationary lift for vehicle",6747,0.0007433097167887522
245,Spring devices,6700,0.0007381317774543708
246,Marine propulsion,6548,0.0007213861013091373
247,"Single-crystal, oriented-crystal, and epitaxy growth processes; non-coating apparatus therefor",6530,0.0007194030607129912
248,Drying and gas or vapor contact with solids,6472,0.0007130132632365206
249,Article dispensing,6432,0.000708606506356196
250,Implements or apparatus for applying pushing or pulling force,6410,0.0007061827900720174
251,Gas separation,6407,0.0007058522833059931
252,Manufacturing container or tube from paper; or other manufacturing from a sheet or web,6098,0.0006718100864054855
253,Gas and liquid contact apparatus,6083,0.0006701575525753638
254,Movable or removable closures,5926,0.0006528610318200898
255,Sewing,5898,0.0006497763020038625
256,Work holders,5892,0.0006491152884718138
257,"Interrelated power delivery controls, including engine control",5867,0.000646361065421611
258,"Tent, canopy, umbrella, or cane",5839,0.0006432763356053838
259,Cutting by use of rotating axially moving tool,5790,0.000637878058426986
260,Alloys or metallic compositions,5741,0.0006324797812485884
261,Bleaching and dyeing; fluid treatment and chemical modification of textiles and fibers,5542,0.0006105561657689736
262,Tool driving or impacting,5541,0.0006104459968469655
263,Flexible bags,5481,0.0006038358615264786
264,Gas separation: processes,5439,0.0005992087668021377
265,"Boots, shoes, and leggings",5349,0.0005892935638214074
266,"Rotary shafts, gudgeons, housings, and flexible couplings for rotary shafts",5169,0.0005694631578599467
267,Earth working,5086,0.0005603191373332731
268,"Earth boring, well treating, and oil field chemistry",5041,0.0005553615358429079
269,Mechanical guns and projectors,4957,0.0005461073463942262
270,Harvesters,4919,0.0005419209273579179
271,Metallurgical apparatus,4881,0.0005377345083216095
272,Brushware,4738,0.0005219803524744491
273,Furnaces,4686,0.0005162515685300271
274,Cutlery,4667,0.0005141583590118729
275,"Combinatorial chemistry technology: method, library, apparatus",4613,0.0005082092372234347
276,Presses,4589,0.00050556518309524
277,Glass manufacturing,4560,0.0005023702843570046
278,"Gear cutting, milling, or planing",4527,0.0004987347099307368
279,Woodworking,4477,0.0004932262638303311
280,Electric resistance heating devices,4416,0.00048650595958783604
281,Land vehicles: wheels and axles,4358,0.00048011616211136534
282,"Miscellaneous hardware (e.g., bushing, carpet fastener, caster, door closer, panel hanger, attachable or adjunct handle, hinge, window sash balance, etc.)",4355,0.000479785655345341
283,Heating,4296,0.0004732856889468622
284,Automatic temperature and humidity regulation,4269,0.0004703111280526431
285,Powder metallurgy processes,4228,0.0004657942022503104
286,Sales and advertising equipment,4041,0.0004451926138347929
287,Weighing scales,3977,0.0004381418028262735
288,Plant husbandry,3967,0.00043704011360619236
289,"Fishing, trapping, and vermin destroying",3967,0.00043704011360619236
290,Printed matter,3949,0.0004350570730100463
291,"Buoys, rafts, and aquatic devices",3928,0.0004327435256478759
292,Railways,3916,0.0004314214985837785
293,"Specialized metallurgical processes, compositions for use therein, consolidated metal powder compositions, and loose metal particulate mixtures",3913,0.00043109099181775414
294,Textiles: weaving,3902,0.0004298791336756649
295,"Cutters, for shaping",3899,0.00042954862690964055
296,Liquid heaters and vaporizers,3899,0.00042954862690964055
297,Electrical resistors,3871,0.0004264638970934133
298,Railway rolling stock,3856,0.0004248113632632916
299,Geometrical instruments,3831,0.00042205714021308874
300,Electric lamp or space discharge component or device manufacturing,3796,0.0004182012279428047
301,Firearms,3645,0.00040156572071957934
302,Fire extinguishers,3571,0.00039341322049097884
303,Freight accommodation on freight carrier,3544,0.0003904386595967597
304,"Equipment for safety, protection, and rescue",3518,0.00038757426762454873
305,Mining or in situ disintegration of hard material,3470,0.0003822861593681592
306,Gas separation: apparatus,3380,0.00037237095638742885
307,Ordnance,3348,0.0003688455508831692
308,"Record receiver having plural interactive leaves or a colorless color former, method of use, or developer therefor",3297,0.0003632269358607553
309,Signals and indicators,3259,0.00035904051682444693
310,Conveyors: fluid current,3238,0.0003567269694622765
311,Sheet-material associating,3201,0.00035265071934797624
312,Electricity: electrothermally or thermally actuated switches,3182,0.00035055750982982206
313,"Distillation: processes, separatory",3153,0.0003473626110915867
314,"Superconductor technology: apparatus, material, process",3143,0.0003462609218715056
315,Dynamic optical information storage or retrieval,3134,0.00034526940157343254
316,Butchering,3034,0.00033425250937262107
317,Textiles: fluid treating apparatus,3033,0.0003341423404506129
318,Fences,2993,0.00032973558357028834
319,Fuel and related compositions,2922,0.00032191359010771216
320,Lubrication,2824,0.0003111170357509169
321,Check-actuated control mechanisms,2791,0.0003074814613246491
322,Gas: heating and illuminating,2716,0.00029921879217404047
323,Planting,2715,0.00029910862325203236
324,Excavating,2683,0.00029558321774777265
325,Explosive and thermic compositions or charges,2675,0.00029470186637170774
326,"Electrical pulse counters, pulse dividers, or shift registers: circuits and systems",2489,0.00027421044687819834
327,"Abrasive tool making process, material, or composition",2480,0.00027321892658012533
328,Apparel apparatus,2468,0.00027189689951602795
329,Static molds,2429,0.00026760031155771143
330,Chucks or sockets,2321,0.000255702067980835
331,Tobacco and smokers' supplies,2298,0.00025316818277464835
332,Edible products,2282,0.00025140548002251854
333,Textiles: knitting,2217,0.00024424450009199105
334,Imperforate bowl: centrifugal separators,2209,0.00024336314871592612
335,Vehicle fenders,2125,0.00023410895926724446
336,Chemistry: fischer-tropsch processes; or purification or recovery of products thereof,2109,0.00023234625651511462
337,Electricity: single generator systems,2082,0.00022937169562089552
338,Amusement devices,2074,0.0002284903442448306
339,Textile or paper yard goods; sheet material,2043,0.00022507510766257903
340,Traversing hoists,2043,0.00022507510766257903
341,Trunks and hand-carried luggage,2026,0.00022320223598844106
342,Advancing material of indeterminate length,2002,0.00022055818186024633
343,Distillation: apparatus,1980,0.00021813446557606778
344,Metal deforming,1977,0.00021780395881004343
345,Miscellaneous,1957,0.00021560058036988115
346,Musical instruments,1914,0.00021086331672353218
347,Hazardous or toxic waste destruction or containment,1842,0.0002029311543389479
348,Foundation garments,1828,0.0002013887894308343
349,"Books, strips, and leaves",1780,0.00019610068117444478
350,High-voltage switches with arc preventing or extinguishing devices,1769,0.0001948888230323555
351,Colloid systems and wetting agents; subcombinations thereof; processes of,1765,0.00019444814734432305
352,Heating systems,1757,0.00019356679596825813
353,Binder device releasably engaging aperture or notch of sheet,1746,0.00019235493782616888
354,Severing by tearing or breaking,1745,0.00019224476890416074
355,Stone working,1741,0.0001918040932161283
356,"Purses, wallets, and protective covers",1741,0.0001918040932161283
357,Industrial electric heating furnaces,1725,0.00019004139046399846
358,Telegraphy,1701,0.0001873973363358037
359,Wheel substitutes for land vehicles,1555,0.0001713126737226189
360,"Sugar, starch, and carbohydrates",1470,0.00016194831535192911
361,Chemistry: fertilizers,1452,0.00015996527475578304
362,Railway switches and signals,1429,0.0001574313895495964
363,Locks,1408,0.00015511784218742597
364,Railways: surface track,1383,0.0001523636191372231
365,Modulators,1353,0.00014905855147697965
366,Crop threshing or separating,1327,0.00014619415950476865
367,Wireworking,1239,0.00013649929436805453
368,Bookbinding: process and apparatus,1237,0.00013627895652403832
369,Perfume compositions,1234,0.00013594844975801397
370,Jewelry,1169,0.00012878746982748648
371,Roll or roller,1159,0.00012768578060740534
372,Turning,1146,0.00012625358462129983
373,Demodulators,1136,0.0001251518954012187
374,Deposit and collection receptacles,1076,0.00011854176008073178
375,Optics: motion pictures,1015,0.00011182145583823677
376,Textiles: ironing or smoothing,984,0.0001084062192559852
377,Textiles: fiber preparation,975,0.00010741469895791216
378,"Distillation: processes, thermolytic",907,9.992321226136034e-05
379,Tool changing,906,9.981304333935222e-05
380,"Conveyors, chutes, skids, guides, and ways",904,9.9592705495336e-05
381,Electricity: transmission to vehicles,894,9.849101627525484e-05
382,"Textiles: spinning, twisting, and twining",884,9.73893270551737e-05
383,"Scanning-probe techniques or apparatus; applications of scanning-probe techniques, e.g., scanning probe microscopy [spm]",781,8.604192808833784e-05
384,Coin handling,762,8.394871857018366e-05
385,Wheelwright machines,740,8.152500228600513e-05
386,"Safes, bank protection, or a related device",729,8.031314414391587e-05
387,Friction gear transmission systems or components,719,7.921145492383471e-05
388,Concentrating evaporators,710,7.821993462576168e-05
389,Land vehicles: dumping,703,7.744875217170488e-05
390,Expansible chamber devices,695,7.656740079563995e-05
391,Motors: expansible chamber type,689,7.590638726359126e-05
392,Railway draft appliances,679,7.480469804351012e-05
393,Compound tools,652,7.183013714929101e-05
394,Electricity: motor control systems,600,6.610135320486902e-05
395,Bridges,528,5.816919082028474e-05
396,Sheet metal container making,468,5.155905549979784e-05
397,Merchandising,450,4.9576014903651766e-05
398,Farriery,419,4.61607783214002e-05
399,Harness for working animal,416,4.5830271555375856e-05
400,"Brush, broom, and mop making",401,4.417773772525413e-05
401,Textiles: manufacturing,388,4.2745541739148636e-05
402,Boot and shoe making,372,4.09828389870188e-05
403,"Threaded, headed fastener, or washer making: process and apparatus",333,3.668625102870231e-05
404,Unearthing plants or buried objects,287,3.161848061632902e-05
405,Knots and knot tying,283,3.117780492829656e-05
406,Ammunition and explosive-charge making,253,2.7872737268053106e-05
407,Bee culture,237,2.6110034515923264e-05
408,"Motors: spring, weight, or animal powered",214,2.357614930973662e-05
409,"Metal tools and implements, making",206,2.26947979336717e-05
410,Mineral oils: apparatus,203,2.2364291167647354e-05
411,Nanotechnology,168,1.8508378897363327e-05
412,Undertaking,158,1.7406689677282178e-05
413,"Books, strips, and leaves for manifolding",139,1.531348015912799e-05
414,Railway wheels and axles,122,1.3440608484990035e-05
415,Tuners,115,1.266942603093323e-05
416,Wooden receptacles,102,1.1237230044827735e-05
417,Chemistry: physical processes,97,1.0686385434787159e-05
418,"Textiles: braiding, netting, and lace making",92,1.0135540824746585e-05
419,Track sanders,87,9.584696214706009e-06
420,Wood turning,68,7.491486696551823e-06
421,"Selective cutting (e.g., punching)",65,7.1609799305274774e-06
422,Textiles: cloth finishing,53,5.838952866430097e-06
423,Wire fabrics and structure,45,4.957601490365177e-06
424,Leather manufactures,45,4.957601490365177e-06
425,Whips and whip apparatus,28,3.0847298162272213e-06
426,Coopering,25,2.754223050202876e-06
427,Robots,21,2.313547362170416e-06
428,Electric lamp and discharge devices: consumable electrodes,21,2.313547362170416e-06
429,Needle and pin making,17,1.8728716741379557e-06
430,"Chain, staple, and horseshoe making",17,1.8728716741379557e-06
431,Railway mail delivery,15,1.6525338301217256e-06
432,Peptide or protein sequence,13,1.4321959861054955e-06
433,Electronic funds transfer,13,1.4321959861054955e-06
434,Land vehicles: animal draft appliances,10,1.1016892200811505e-06
435,Button making,5,5.508446100405752e-07
436,Type casting,5,5.508446100405752e-07
437,Hybrid electric vehicles (hevs),5,5.508446100405752e-07
438,Typesetting,4,4.406756880324602e-07
439,"Organic compounds containing a bi, sb, as, or p atom or containing a metal atom of the 6th to 8th group of the periodic system",1,1.1016892200811505e-07
